A:
10.0.0.1 | 10.0.0.1 | 10.0.0.1 | 0
10.0.4.1 | 10.0.8.2 | 10.0.8.1 | 3
10.0.6.2 | 10.0.7.2 | 10.0.7.1 | 3
10.0.7.2 | 10.0.7.2 | 10.0.7.1 | 3
10.0.4.2 | 10.0.8.2 | 10.0.8.1 | 4
10.0.5.2 | 10.0.8.2 | 10.0.8.1 | 4
10.0.6.1 | 10.0.8.2 | 10.0.8.1 | 4
F:
10.0.1.2 | 10.0.1.2 | 10.0.1.2 | 0
10.0.6.2 | 10.0.6.2 | 10.0.6.2 | 0
10.0.7.2 | 10.0.7.2 | 10.0.7.2 | 0
10.0.4.2 | 10.0.6.1 | 10.0.6.2 | 2
10.0.5.2 | 10.0.6.1 | 10.0.6.2 | 2
10.0.6.1 | 10.0.6.1 | 10.0.6.2 | 2
10.0.0.2 | 10.0.6.1 | 10.0.6.2 | 3
10.0.3.1 | 10.0.6.1 | 10.0.6.2 | 3
10.0.3.2 | 10.0.7.1 | 10.0.7.2 | 3
10.0.4.1 | 10.0.6.1 | 10.0.6.2 | 3
10.0.7.1 | 10.0.7.1 | 10.0.7.2 | 3
10.0.8.1 | 10.0.7.1 | 10.0.7.2 | 3
10.0.0.1 | 10.0.6.1 | 10.0.6.2 | 4
10.0.1.1 | 10.0.6.1 | 10.0.6.2 | 4
10.0.2.1 | 10.0.6.1 | 10.0.6.2 | 4
10.0.2.2 | 10.0.7.1 | 10.0.7.2 | 4
10.0.5.1 | 10.0.7.1 | 10.0.7.2 | 4
10.0.8.2 | 10.0.7.1 | 10.0.7.2 | 4
